Values, R:100000C:6e-05E:12
Time,Vc
0, 0
0.0002, 0.000399993
0.0004, 0.000799973
0.0006, 0.00119994
0.0008, 0.00159989
0.001, 0.00199983
0.0012, 0.00239976
0.0014, 0.00279967
0.0016, 0.00319957
0.0018, 0.00359946
0.002, 0.00399933
0.0022, 0.00439919
0.0024, 0.00479904
0.0026, 0.00519887
0.0028, 0.00559869
0.003, 0.0059985
0.0032, 0.00639829
0.0034, 0.00679807
0.0036, 0.00719784
0.0038, 0.00759759
0.004, 0.00799733
0.0042, 0.00839706
0.0044, 0.00879677
0.0046, 0.00919647
0.0048, 0.00959616
0.005, 0.00999583
0.0052, 0.0103955
0.0054, 0.0107951
0.0056, 0.0111948
0.0058, 0.0115944
0.006, 0.011994
0.0062, 0.0123936
0.0064, 0.0127932
0.0066, 0.0131927
0.0068, 0.0135923
0.007, 0.0139918
0.0072, 0.0143914
0.0074, 0.0147909
0.0076, 0.0151904
0.0078, 0.0155899
0.008, 0.0159893
0.0082, 0.0163888
0.0084, 0.0167882
0.0086, 0.0171877
0.0088, 0.0175871
0.009, 0.0179865
0.0092, 0.0183859
0.0094, 0.0187853
0.0096, 0.0191846
0.0098, 0.019584
0.01, 0.0199833
0.0102, 0.0203827
0.0104, 0.020782
0.0106, 0.0211813
0.0108, 0.0215806
0.011, 0.0219798
0.0112, 0.0223791
0.0114, 0.0227784
0.0116, 0.0231776
0.0118, 0.0235768
0.012, 0.023976
0.0122, 0.0243752
0.0124, 0.0247744
0.0126, 0.0251736
0.0128, 0.0255727
0.013, 0.0259719
0.0132, 0.026371
0.0134, 0.0267701
0.0136, 0.0271692
0.0138, 0.0275683
0.014, 0.0279674
0.0142, 0.0283664
0.0144, 0.0287655
0.0146, 0.0291645
0.0148, 0.0295635
0.015, 0.0299625
0.0152, 0.0303615
0.0154, 0.0307605
0.0156, 0.0311595
0.0158, 0.0315584
0.016, 0.0319574
0.0162, 0.0323563
0.0164, 0.0327552
0.0166, 0.0331541
0.0168, 0.033553
0.017, 0.0339519
0.0172, 0.0343507
0.0174, 0.0347496
0.0176, 0.0351484
0.0178, 0.0355472
0.018, 0.0359461
0.0182, 0.0363448
0.0184, 0.0367436
0.0186, 0.0371424
0.0188, 0.0375412
0.019, 0.0379399
0.0192, 0.0383386
0.0194, 0.0387373
0.0196, 0.039136
0.0198, 0.0395347
0.02, 0.0399334
0.0202, 0.0403321
0.0204, 0.0407307
0.0206, 0.0411294
0.0208, 0.041528
0.021, 0.0419266
0.0212, 0.0423252
